varietal,vintage,rating
Cabernet Franc,2010,5
Cabernet Franc,2014,4
Cabernet Sauvignon,2012,4
Cabernet Sauvignon,2013,4
Cabernet Sauvignon,2014,3
Cabernet Sauvignon,2015,3
Cabernet Sauvignon,2016,3
Cabernet Syrah,2006,5
Cabernet Syrah,2008,5
Cabernet Syrah,2010,5
Cabernet Syrah,2012,4
Cabernet Syrah,2014,4
Cabernet Syrah,2016,3
Cabernet Syrah,2017,2
Cabrador,2009,5
Cabrador,2010,5
Cabrador,2011,5
Cabrador,2012,5
Cabrador,2013,4
Cabrador,2015,3
Cabrador,2017,2
Chardonnay,2007,5
Chardonnay,2008,5
Chardonnay,2009,5
Chardonnay,2010,5
Chardonnay,2011,5
Chardonnay,2012,5
Chardonnay,2013,5
Chardonnay,2015,5
Chardonnay,2016,5
Chardonnay,2017,5
Haiku Red,2007,5
Haiku Red,2008,5
Haiku Red,2011,5
Haiku Red,2013,5
Haiku White,2008,5
Haiku White,2009,5
Haiku White,2010,5
Haiku White,2011,5
Haiku White,2012,5
Hog and Dogs Red,2014,4
Hog and Dogs Red,2015,4
Independence Red,2006,5
Independence Red,2008,5
Independence Red,2009,5
Independence Red,2011,5
Independence Red,2012,5
Independence Red,2014,4
Independence Red,2015,4
Independence Red,2017,3
Independence Red,2018,2
Lyrik,2012,4
Lyrik,2014,3
Lyrik,2016,3
Lyrik,2017,2
Merlot,2006,5
Merlot,2014,4
Petite Syrah,2011,5
Petite Syrah,2015,4
Petite Syrah,2016,3
Pinot Blanc,2019,3
Pinot Blanc,2020,3
Prose,2014,4
Prose,2015,3
Prose,2016,3
Renku Rosé,2016,5
Renku Rosé,2017,5
Renku Rosé,2018,4
Renku Rosé,2019,3
Renku Rosé,2020,3
Reserve Cinquain,2007,5
Reserve Cinquain,2008,5
Reserve Cinquain,2009,4
Reserve Cinquain,2010,4
Reserve Cinquain,2012,3
Reserve Cinquain,2013,3
Reserve Cinquain,2014,3
Reserve Cinquain,2016,2
Reserve Cinquain,2017,2
Reserve Malbec,2007,5
Reserve Malbec,2008,5
Reserve Malbec,2009,4
Reserve Malbec,2010,4
Reserve Malbec,2011,4
Reserve Malbec,2012,4
Reserve Malbec,2013,3
Reserve Malbec,2014,3
Reserve Malbec,2015,3
Reserve Malbec,2016,2
Reserve Malbec,2017,1
Reserve Meritage,2006,4
Reserve Meritage,2007,4
Reserve Roussanne,2009,5
Reserve Roussanne,2010,5
Reserve Roussanne,2011,5
Reserve Roussanne,2012,5
Reserve Roussanne,2013,5
Sauvignon Blanc,2007,5
Sauvignon Blanc,2008,5
Sauvignon Blanc,2009,5
Sauvignon Blanc,2010,5
Sonnetina,2016,3
Syrah,2006,5
Syrah,2007,5
Syrah,2008,5
Syrah,2009,5
Syrah,2010,5
Syrah,2011,4
Syrah,2012,4
Syrah,2013,3
Syrah,2014,3
Syrah,2015,3
Syrah,2016,2
Syrah,2017,2
Tempranillo,2008,5
Tempranillo,2009,5
Tempranillo,2010,4
Tempranillo,2011,4
Tempranillo,2015,3
Tempranillo,2016,2
Touriga Dessert,2006,3
Touriga Dessert,2007,3
Touriga Dessert,2008,3
Touriga Dessert,2009,3
Touriga Dessert,2010,3
Touriga Dessert,2012,3
Touriga Dessert 10yr,2009,3
Touriga Dry,2014,3
Touriga Dry,2016,3
Touriga Dry,2017,2
Viognier,2012,5
Viognier,2013,5
